"nH","T","fit","se","lower","upper"
"0.1","0.5",-1.97061788136685,0.0228595450105308,-2.01542330737811,-1.92581245535558
"0.5","0.5",-1.92741507112781,0.0230826166464871,-1.97265772455,-1.88217241770561
"5","0.5",-1.3173139875202,0.0270882737994289,-1.37040785473996,-1.26422012030044
"10","0.5",-0.645472312218618,0.031231897203656,-0.706687811420603,-0.584256813016634
"0.1","0.7",-3.16878703530416,0.0175792412808037,-3.20324290020341,-3.13433117040491
"0.5","0.7",-3.1363704143035,0.0176632874173834,-3.1709910122695,-3.1017498163375
"5","0.7",-2.62652951926494,0.0187759202176648,-2.66333091245621,-2.58972812607368
"10","0.7",-2.3019274777679,0.0200798684534264,-2.34128465044528,-2.26257030509051
"0.1","1",-3.62486897498783,0.0161409755266801,-3.6565057938474,-3.59323215612826
"0.5","1",-3.63433182954498,0.0162304476989764,-3.66614401667168,-3.60251964241828
"5","1",-3.56661452702523,0.0165798269654239,-3.59911150848469,-3.53411754556577
"10","1",-3.42368787726386,0.0167957624084139,-3.45660809897196,-3.39076765555575
