"nH","r","fit","se","lower","upper"
"0.1","0.2",-2.71252528677353,0.0176672575996178,-2.74715366642138,-2.67789690712569
"0.5","0.2",-2.72912473485155,0.0178069605523134,-2.76402693667336,-2.69422253302975
"5","0.2",-2.30685685110138,0.0185517778638557,-2.34321891824111,-2.27049478396166
"10","0.2",-2.13586023388982,0.0192582506959973,-2.17360700996382,-2.09811345781583
"0.1","0.5",-3.21870909577065,0.0180524574024989,-3.25409247912743,-3.18332571241387
"0.5","0.5",-3.20024299471784,0.0181044918895124,-3.23572836730305,-3.16475762213263
"5","0.5",-2.84673381692608,0.0192970900981434,-2.88455671944784,-2.80891091440432
"10","0.5",-2.38141579069164,0.0204370815233243,-2.42147311220253,-2.34135846918075
"0.1","0.9",-3.54220930389031,0.0185795273158261,-3.57862576082723,-3.50579284695339
"0.5","0.9",-3.49192904028046,0.018697079502446,-3.5285759031943,-3.45528217736663
"5","0.9",-3.29493909796458,0.0203870197872452,-3.33489829690081,-3.25497989902834
"10","0.9",-2.98660763998728,0.0221666413009285,-3.03005495297052,-2.94316032700404
