"nH","g","fit","se","lower","upper"
"0.1","1.7",-3.55013623587044,0.0174061689240584,-3.58425284787783,-3.51601962386306
"0.5","1.7",-3.43676665147088,0.0178640963738943,-3.47178081498439,-3.40175248795738
"5","1.7",-2.49991756078318,0.0205106274688659,-2.54011900444584,-2.45971611712052
"10","1.7",-2.12890147758065,0.0233767176669057,-2.17472054380525,-2.08308241135605
"0.1","2",-3.36805427445612,0.0172713372272203,-3.40190661230258,-3.33420193660966
"0.5","2",-3.23246790718843,0.0176532386113737,-3.26706878317704,-3.19786703119983
"5","2",-2.64352245135783,0.0202037493215421,-2.68312240466776,-2.6039224980479
"10","2",-2.2728750202996,0.0225220395162455,-2.31701889177086,-2.22873114882833
"0.1","3",-2.52684380055917,0.0167582930220032,-2.55969055640947,-2.49399704470886
"0.5","3",-2.43165431207366,0.0171796905439216,-2.46532701967813,-2.39798160446918
"5","3",-2.20505926106484,0.0196120592485233,-2.24349948412408,-2.16661903800559
"10","3",-1.96570210537274,0.0217508868940984,-2.00833449462623,-1.92306971611925
